ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,178251,SONOMA COUNTY RED - RIDGE GEYSERVILLE ALEXANDER VALLEY 2015,744442301003,0.75,1,14.6,84.99,0
Spirits,Tequila,Blanco/Silver Tequila,MEXICO,222839,SIERRA TEQUILA - SILVER,4062400115483,0.75,1,38,34.99,NA
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,377022,NUDE - PINK LEMONADE CAN,32302448754,0.355,6,5,13.99,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,390849,CABERNET SAUVIGNON - CAYMUS NAPA,17224799108,0.75,1,14.9,111.99,0
Wine,France Wine,France Sparkling Wine,FRANCE,494856,BOUILLOT - CREMANT DE BOURGOGNE ROSE PERLE D'AURORE,3174470080187,0.75,1,12,29.99,1
Spirits,Rum,White Rum,UNITED STATES OF AMERICA,511802,BACARDI - TROPICAL,80480986414,0.75,1,35,23.49,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,531690,OLD FORESTER - 1920 WHISKEY ROW SERIES,81128001155,0.75,1,57.5,92.99,NA
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,781542,COLUMBIA - KOKANEE CAN,62067374296,0.355,36,5,58.49,NA
Wine,France Wine,France Red Wine,FRANCE,961086,CHATEAU LAFITE ROTHSCHILD 2013,,0.75,1,13,1200,NA
Spirits,Vodka,Straight Vodka,CANADA,70375,G AND W DISTILLING - SID THE HANDCRAFTED VODKA,627843331810,0.75,1,40,30.99,NA
Wine,Italy Wine,Italy Red Wine,ITALY,79702,BAROLO - G D VAJRA ALBE 2016,,3,1,14.5,409.99,0
Wine,Chile Wine,Chile White Wine,CHILE,102205,SAUVIGNON BLANC - 8 RIOS CHILE 2022,7804315005506,0.75,1,12,13.99,0
Wine,Spain Wine,Spain Rose Wine,SPAIN,102866,BOBAL ROSADO - SIERRA SALINAS,8420202250270,0.75,1,12,11.99,0
Wine,Chile Wine,Chile Red Wine,CHILE,105643,CABERNET SAUVIGNON - ROOT 1,7808725402245,0.75,1,13.5,17.49,0
Wine,Spain Wine,Spain Red Wine,SPAIN,167740,CALATAYUD OLD VINES GARNACHA - ANCIANO,5060108905428,0.75,1,15,19.99,0
Wine,Spain Wine,Spain Red Wine,SPAIN,197806,CARINENA GARNACHA - CASTILLO DE MONSERAN,831906002788,0.75,1,14.5,14.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,238097,DALWHINNIE - 15 YEAR OLD,622153610044,0.75,1,43,114.99,NA
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,316990,COCO VODKA ORIGINAL - DEADMAU5 LIMITED EDITION,628634628218,0.473,4,5,12.99,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,324001,WOODFORD RESERVE - MASTER'S COLLECTION HISTORIC BARREL ENTRY,81128003227,0.7,1,45.2,189.99,NA
Wine,USA Wine,USA White Wine,UNITED STATES OF AMERICA,417626,CHARDONNAY - WILLIAM HILL NORTH COAST 201,85000021590,0.75,1,13.8,21.99,1
Spirits,Liqueurs,Cream/Dairy Liqueurs,IRELAND,454345,CAROLANS - IRISH CREAM GIFT PACK WITH ROCK GLASSES,810845030144,0.75,1,17,27.99,NA
Wine,Canada - BC,Canada - BC Rose Wine,CANADA,511469,JOIEFARM - RE THINK PINK 2022,692739000026,0.75,1,12.5,27.99,0
